{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:56:02 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:59:16 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:00:50 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'dictionary update sequence element #0 has length 1; 2 is required' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:01:56 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'149', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:03:08 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'150', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:04:05 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'150', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:08:27 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'151', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:09:51 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:10:44 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:12:16 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:13:19 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'malformed string' }
